RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,72.12376079999376,None,,,,,,,,,,,,,,,,,,,,,,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,397.4429830000154,None,space,13.53601370000979,397.4429830000154,None,,,,,,,,,,,,,,,,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,0,416.9598149000085,None,416.9598149000085,417.95978760003345,417.9430272000027,None,0,1,416.9598149000085,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,0,418.0265101999976,None,418.0265101999976,419.02647199999774,419.0098125000368,420.00982239999576,0,1,418.0265101999976,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,0,420.02648850000696,None,420.02648850000696,421.0265039000078,421.00982239999576,422.0098231000011,0,1,420.02648850000696,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,422.02650089998497,None,422.02650089998497,423.02649369998835,423.0098463000031,424.0098449999932,0,1,422.02650089998497,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,0,424.02652790001594,None,424.02652790001594,425.0265243999893,425.0098520999891,426.0098618000047,0,1,424.02652790001594,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,426.02645750000374,None,426.02645750000374,427.02654600003734,427.0098683999968,428.0098689000006,0,1,426.02645750000374,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,428.02655060001416,None,428.02655060001416,429.0265427000122,429.00987539999187,430.0098717000219,0,1,428.02655060001416,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,430.02656750002643,None,430.02656750002643,431.02655790001154,431.00994970003376,432.00989180000033,0,1,430.02656750002643,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,432.0265698999865,None,432.0265698999865,433.02659490000224,433.00988710002275,434.0099149000016,0,0,432.0265698999865,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,434.02658040000824,None,434.02658040000824,435.02658890001476,435.0099285999895,436.00993010000093,0,1,434.02658040000824,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,436.0265917000361,None,436.0265917000361,437.02659620001214,437.00993500003824,438.00995159999,0,1,436.0265917000361,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,438.0266150000389,None,438.0266150000389,439.0266153999837,439.00985090003815,440.00995590002276,0,1,438.0266150000389,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,440.02663810004015,None,440.02663810004015,441.0266418000101,441.0099636000232,442.0098747999873,0,1,440.02663810004015,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,442.02665900002467,None,442.02665900002467,443.0266849999898,443.00998149998486,444.0099949000287,0,1,442.02665900002467,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,None,None,0,444.02666710002813,None,444.02666710002813,445.0266767999856,445.0100099000265,446.01000140002,0,1,444.02666710002813,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,None,None,0,446.02668150002137,None,446.02668150002137,447.02668160002213,447.0100270000403,448.01001780002844,0,1,446.02668150002137,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,None,None,0,448.0267039000173,None,448.0267039000173,449.0266946000047,449.010039100016,450.010034899984,0,1,448.0267039000173,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,None,None,0,450.02670590003254,None,450.02670590003254,451.0267111000139,451.01003790000686,452.01005159999477,0,1,450.02670590003254,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,None,None,0,452.0267254000064,None,452.0267254000064,453.02673300000606,453.0100662999903,454.0100730000413,0,1,452.0267254000064,None,,3,F,25,L,SK,2022_Feb_23_1555,WASABI Nback,2020.2.10,59.96987114468888,
