square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,10,10,10,,,,,,,117.85720300000685,None,117.85720300000685,118.85771389999718,118.84096830000635,119.84159550000913,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,117.85720300000685,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,0,0,0,0,0,11,11,11,,,,,,,119.85813580000831,None,119.85813580000831,120.85869910000474,120.84204050000699,121.84252420000848,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,119.85813580000831,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",0.0,0,0,0,0,0,12,12,12,,,,,,,121.85918410000158,None,121.85918410000158,122.85977280000225,122.8429662999988,123.84362470000633,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,121.85918410000158,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",1.0,0,0,0,0,0,13,13,13,,,,,,,123.86009149999882,None,123.86009149999882,124.86074240000744,124.84401889999572,125.84446180000668,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,123.86009149999882,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
8,"[0, -0.2]",0.0,0,0,0,0,0,14,14,14,,,,,,,125.86203040000692,None,125.86203040000692,126.86161590000847,126.84491980000166,127.84560390000115,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,125.86203040000692,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
5,"[0, 0]",0.0,0,0,0,0,0,15,15,15,,,,,,,127.86225610000838,None,127.86225610000838,128.8626021000091,128.84590509999543,129.84654389999923,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,127.86225610000838,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
5,"[0, 0]",1.0,0,0,0,0,0,16,16,16,,,,,,,129.8632978000096,None,129.8632978000096,130.86363960000745,130.84732660000736,131.84736440000415,0,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,129.8632978000096,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
1,"[-0.2, 0.2]",0.0,0,0,0,0,0,17,17,17,,,,,,,131.8641665000032,None,131.8641665000032,132.8647376000008,132.84836460000952,133.84844709999743,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,131.8641665000032,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0.0,0,0,0,0,0,18,18,18,,,,,,,133.8651208000083,None,133.8651208000083,134.86597359999723,134.8491181999998,135.84952620000695,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,133.8651208000083,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0.0,0,0,0,0,0,19,19,19,,,,,,,135.8661310000025,None,135.8661310000025,136.8666219000006,136.8499798999983,None,1,0.6402777777777777,0.17777777777777778,"[0, 0, 0]",0,0,135.8661310000025,None,,,,,,999,m,2,99,r,TEST,2021_Aug_03_2022,WASABI distractmap,2020.2.10,59.57991393981947,"['Right Arm', 'Left Face', 'Right Face', 'Right Leg']",
