square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
7,"[-0.2, -0.2]",0.0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",210.2040704000101,212.20522830000846,210.2040704000101,211.20466850002413,211.18825490001473,212.18863849999616,"[0, 0, 0]",0,210.2040704000101,212.20522830000846,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
4,"[-0.2, 0]",1.0,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",212.22195520001696,214.22303429999738,212.22195520001696,213.22248409999884,213.20562409999548,214.20612499999697,"[0, 0, 0]",0,212.22195520001696,214.22303429999738,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
3,"[0.2, 0.2]",0.0,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",214.2394220000133,216.24046590001672,214.2394220000133,215.23996490001446,215.2235314999998,216.22394759999588,"[0, 0, 0]",1,214.2394220000133,216.24046590001672,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
5,"[0, 0]",0.0,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",216.2574891000113,218.25838030001614,216.2574891000113,217.25770710001234,217.2410160000145,218.24148200001218,"[0, 0, 0]",1,216.2574891000113,218.25838030001614,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
3,"[0.2, 0.2]",1.0,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",218.2747715000005,220.27579380001407,218.2747715000005,219.27535660000285,219.258702799998,220.2596681000141,"[0, 0, 0]",1,218.2747715000005,220.27579380001407,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
1,"[-0.2, 0.2]",0.0,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",220.29281579999952,222.29379190001055,220.29281579999952,221.2931659000169,221.27630050000153,222.2768382000213,"[0, 0, 0]",1,220.29281579999952,222.29379190001055,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",222.3101716999954,224.31126780001796,222.3101716999954,223.31072609999683,223.2941897000128,224.29470550001133,"[0, 0, 0]",1,222.3101716999954,224.31126780001796,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
9,"[0.2, -0.2]",0.0,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",224.32808740000473,226.32906350001576,224.32808740000473,225.32907100001466,225.31170500000007,226.31218790001003,"[0, 0, 0]",0,224.32808740000473,226.32906350001576,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
8,"[0, -0.2]",0.0,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",226.34550809999928,228.34666830001515,226.34550809999928,227.3460469999991,227.32971869999892,228.33035790000577,"[0, 0, 0]",1,226.34550809999928,228.34666830001515,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
6,"[0.2, 0]",0.0,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",228.36356210001395,230.36454680000315,228.36356210001395,229.3641295999987,229.34717920000548,230.34757460001856,"[0, 0, 0]",1,228.36356210001395,230.36454680000315,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1432,WASABI distractmap,2020.2.10,59.79638136407722,"['Right Leg', 'Right Face', 'Left Arm', 'Left Face']",
