square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,786.5755605000304,None,787.5922658999916,None,787.5922658999916,788.592273700051,788.5755757000297,789.5755821999628,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,787.5922658999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,789.5922698000213,None,789.5922698000213,790.5922895000549,790.5756203000201,791.5755872000009,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,789.5922698000213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,791.5922858000267,None,791.5922858000267,792.5923028000398,792.575623700046,793.5756330000004,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,791.5922858000267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,793.592310899985,None,793.592310899985,794.5923079999629,794.5756390000461,795.5756455999799,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,793.592310899985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,795.592327099992,None,795.592327099992,796.5923346000491,796.5756495000096,797.5756585999625,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,795.592327099992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,797.5923181000398,None,797.5923181000398,798.5923387999646,798.5756721999496,799.5756880999543,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,797.5923181000398,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,799.5923348000506,None,799.5923348000506,800.5923555999761,800.5756907999748,801.575687399949,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,799.5923348000506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,801.5923596000066,None,801.5923596000066,802.5923700999701,802.575689899968,803.5757187999552,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,801.5923596000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,803.5923813000554,None,803.5923813000554,804.592377700028,804.5757082999917,805.5757190999575,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,803.5923813000554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,805.5923951000441,None,805.5923951000441,806.5924131999491,806.5757439000299,807.5757417000132,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,805.5923951000441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
