square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,,,,,,,,,,,,,,,100.88628790003713,None,space,100.88628790003713,None,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,0,0,0,143.9034105000319,None,None,None,"[0, 0, 0]",148.6365948000457,150.63667060004082,148.6365948000457,149.6366823000135,149.6366823000135,150.63667060004082,"[0, 0, 0]",1,148.6365948000457,150.63667060004082,,,,,,,,107.86991800006945,107.86991800006945,None,space,3.0110838999971747,107.86991800006945,None,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",150.65335370006505,152.65337110008113,150.65335370006505,151.6532651000889,151.6366766000865,152.63671089999843,"[0, 0, 0]",1,150.65335370006505,152.65337110008113,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,2,2,2,,,None,None,"[0, 0, 0]",152.6700550999958,154.67006100004073,152.6700550999958,153.67005920002703,153.65336750005372,154.65340310009196,"[0, 0, 0]",1,152.6700550999958,154.67006100004073,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",154.68671330006327,156.6867435000604,154.68671330006327,155.68671620008536,155.67006560007576,156.67008380009793,"[0, 0, 0]",1,154.68671330006327,156.6867435000604,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,4,4,4,,,None,None,"[0, 0, 0]",156.73709519999102,None,156.73709519999102,157.73675340006594,157.72010140004568,None,"[0, 0, 0]",1,156.73709519999102,None,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",158.72008570004255,160.72011380002368,158.72008570004255,159.7201052000746,159.70342470007017,160.70344410010148,"[0, 0, 0]",1,158.72008570004255,160.72011380002368,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,6,6,6,,,None,None,"[0, 0, 0]",160.73677620000672,162.73679440002888,160.73677620000672,161.7367770000128,161.72012270009145,162.72012370009907,"[0, 0, 0]",1,160.73677620000672,162.73679440002888,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",162.75344430003315,164.75346120004542,162.75344430003315,163.75345230009407,163.73679710004944,164.73681150004268,"[0, 0, 0]",1,162.75344430003315,164.75346120004542,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",164.77015260001644,166.77017930010334,164.77015260001644,165.77015470003244,165.75348469999153,166.7534972000867,"[0, 0, 0]",1,164.77015260001644,166.77017930010334,,,,,,,,,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1415,2020.2.10,distractmap2,59.98512368778086,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
