square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response.rt_left,response.rt_right,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,1100.6286243000068,None,1100.6286243000068,1101.6286511000362,1101.6119776000269,1102.611989099998,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1100.6286243000068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,1102.6285542999976,None,1102.6285542999976,1103.6286588000366,1103.6119898000034,1104.6120105999871,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1102.6285542999976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,1104.6286697000032,None,1104.6286697000032,1105.6286708000116,1105.611998700013,1106.6120062000118,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1104.6286697000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,1106.6286725000245,None,1106.6286725000245,1107.6286909999908,1107.6120264999918,1108.612031400029,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1106.6286725000245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,1108.628681900038,None,1108.628681900038,1109.6287068999954,1109.6120422999957,1110.6120404000394,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1108.628681900038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,1110.6287235000054,None,1110.6287235000054,1111.6287156000035,1111.612058300001,1112.6120680000167,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1110.6287235000054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,1112.6287431000383,None,1112.6287431000383,1113.6287492000265,1113.6120750000118,1114.6120729999966,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1112.6287431000383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
5,"[0, 0]",0,0,15,15,15,,,,,,,1114.6287401000154,None,1114.6287401000154,1115.6287608999992,1115.612084500026,1116.6121080000303,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1114.6287401000154,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
5,"[0, 0]",1,0,16,16,16,,,,,,,1116.62875730003,None,1116.62875730003,1117.6287621000083,1117.6119960999931,1118.6121163000353,0,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1116.62875730003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1118.628768399998,None,1118.628768399998,1119.628790399991,1119.612114700023,1120.6121324000414,1,-0.3925925925925926,-0.14722222222222223,"[0, 0, 0]",0,0,1118.628768399998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,5,R,SK,2022_Jan_21_1847,2020.2.10,distractmap1,59.950816359605646,"['Left Arm', 'Left Face', 'Abdomen', 'Right Arm']",
