RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,45,45,45,,,,,,,,,,,762.2183136999374,None,762.2183136999374,763.2183129999321,763.201668899972,764.2016700999811,None,1,762.2183136999374,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,46,46,46,,,,,,,,,,,764.218341199914,None,764.218341199914,765.2183441999368,765.2016587998951,766.2017332999967,None,1,764.218341199914,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,47,47,47,,,,,,,,,,,766.2183513999917,None,766.2183513999917,767.2183496999787,767.2016904999036,768.2016990999691,None,1,766.2183513999917,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,48,48,48,,,,,,,,,,,768.2183674999978,None,768.2183674999978,769.2183671999956,769.201717399992,770.2017175999936,None,0,768.2183674999978,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,49,49,49,,,,,,,,,,,770.2183786999667,None,770.2183786999667,771.2184157999,771.2017302999739,772.2017425999511,None,1,770.2183786999667,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,50,50,50,,,,,,,,,,,772.2184008999029,None,772.2184008999029,773.2183855999028,773.2017393999267,774.2017419999465,None,1,772.2184008999029,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,51,51,51,,,,,,,,,,,774.2184122999897,None,774.2184122999897,775.2184383999556,775.2017513999017,776.2017674999079,None,0,774.2184122999897,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,52,52,52,,,,,,,,,,,776.2184355999343,None,776.2184355999343,777.2184333999176,777.2017723999452,778.2017631999915,None,1,776.2184355999343,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,53,53,53,,,,,,,,,,,778.2184594999999,None,778.2184594999999,779.2184491999215,779.2017692999216,780.2018061999697,None,1,778.2184594999999,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,54,54,54,,,,,,,,,,,780.2184592999984,None,780.2184592999984,781.2184577999869,781.2017932999879,782.2018094999949,None,1,780.2184592999984,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,55,55,55,,,,,,,,,,,782.2184769999003,None,782.2184769999003,783.2184846999589,783.2018258000026,784.2018095999956,None,1,782.2184769999003,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,56,56,56,,,,,,,,,,,784.2185097999172,None,784.2185097999172,785.2185064000078,785.2018422998954,786.2018529999768,None,0,784.2185097999172,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,57,57,57,,,,,,,,,,,786.2185171999736,None,786.2185171999736,787.2185056000017,787.2018359999638,788.2018673999701,None,1,786.2185171999736,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,58,58,58,,,,,,,,,,,788.2185396999121,None,788.2185396999121,789.2185411999235,789.2018744999077,790.2018559999997,None,1,788.2185396999121,None,,3,f,5,l,KB,2021_May_24_1235,WASABI Nback,2020.2.10,59.99915999139439,
