RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.rt,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,578.0490742998663,None,578.0490742998663,579.0490594999865,579.0323933998588,580.0324237998575,None,1,,578.0490742998663,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,580.0490786998998,None,580.0490786998998,581.049079899909,581.0324652998243,582.0324379999656,None,0,,580.0490786998998,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,582.0490977999289,None,582.0490977999289,583.0491136999335,583.0324585998897,584.0324662998319,None,1,,582.0490977999289,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,584.0491225000005,None,584.0491225000005,585.0491243998986,585.0324646998197,586.0325004998595,None,1,,584.0491225000005,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,586.049134099856,None,586.049134099856,587.0491388998926,587.0324631999247,588.0324882999994,None,0,,586.049134099856,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,588.0491444999352,None,588.0491444999352,589.0491493998561,589.0325040000025,590.0325154999737,None,1,,588.0491444999352,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,590.049166899873,None,590.049166899873,591.0491807998624,591.0325115998276,592.0325376999099,None,1,,590.049166899873,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,592.049182199873,None,592.049182199873,593.0491889999248,593.0325471998658,594.0324358998332,None,1,,592.049182199873,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,594.0492064999416,None,594.0492064999416,595.0492098999675,595.0325738999527,596.0325433998369,None,1,,594.0492064999416,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,37,37,37,,,,,,,,,,,596.0492120999843,None,596.0492120999843,597.0492231999524,597.0325748999603,598.0325111998245,None,1,,596.0492120999843,None,1,M,8,R,CIB,2021_May_25_1403,WASABI Nback,2020.2.10,60.00686478171714,
