square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt_left,response_2.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,,,,,,,,,,,,,,,113.4728882999625,None,space,113.4728882999625,None,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",None,0,0,0,0,224.35727419983596,None,None,None,"[0, 0, 0]",226.923877999885,None,226.923877999885,227.92389789992012,227.90721509978175,228.90721859992482,"[0, 0, 0]",1,226.923877999885,None,,,,,,,,118.97313439985737,118.97313439985737,None,space,1.261354099959135,118.97313439985737,None,191.84023939981125,None,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",228.92389409989119,230.9239046999719,228.92389409989119,229.92390850000083,229.90722569986247,230.90724969981238,"[0, 0, 0]",1,228.92389409989119,230.9239046999719,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,2,2,2,,,None,None,"[0, 0, 0]",230.9405691998545,232.94058309984393,230.9405691998545,231.94060059986077,231.92391669983044,232.92393429996446,"[0, 0, 0]",0,230.9405691998545,232.94058309984393,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
1,"[-0.2, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",232.95725639979355,234.95727739995345,232.95725639979355,233.95727849984542,233.94059959985316,234.94061699998565,"[0, 0, 0]",0,232.95725639979355,234.95727739995345,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,4,4,4,,,None,None,"[0, 0, 0]",235.0074028999079,None,235.0074028999079,236.0072809997946,235.97395669994876,236.97402429999784,"[0, 0, 0]",0,235.0074028999079,None,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",236.9906335999258,238.99064529989846,236.9906335999258,237.9906363999471,237.97398000000976,238.9739919998683,"[0, 0, 0]",0,236.9906335999258,238.99064529989846,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,6,6,6,,,None,None,"[0, 0, 0]",239.00731149991043,241.00731069990434,239.00731149991043,240.00724589987658,239.99064069986343,240.9906686998438,"[0, 0, 0]",0,239.00731149991043,241.00731069990434,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",241.0240203998983,243.02401789999567,241.0240203998983,242.02401489997283,242.00733819999732,243.00734049989842,"[0, 0, 0]",0,241.0240203998983,243.02401789999567,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",243.04067859984934,245.04069539997727,243.04067859984934,244.04068169998936,244.024023699807,245.0240112999454,"[0, 0, 0]",0,243.04067859984934,245.04069539997727,,,,,,,,,,,,,,,,,,,,,1,M,1,99,r,MS,49,49,2022_Jul_01_1325,2020.2.10,distractmap1,60.01248263554586,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
