square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response_2.rt_left,response_2.rt_right,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,,,,,,,,,,,,,222.63160200000857,None,space,222.63160200000857,None,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,0,0,0,352.7993494999828,None,None,None,"[0, 0, 0]",357.7993820999982,359.79939820000436,357.7993820999982,358.79940779999015,358.78275280000526,359.78278000000864,"[0, 0, 0]",1,357.7993820999982,359.79939820000436,,,,,,247.76538729999447,247.76538729999447,None,space,83.65746069999295,247.76538729999447,None,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",359.81608170000254,361.8160995999933,359.81608170000254,360.8160830999841,360.79941839998355,361.79941809998127,"[0, 0, 0]",1,359.81608170000254,361.8160995999933,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,2,2,2,,,None,None,"[0, 0, 0]",361.83277909999015,363.8327212999866,361.83277909999015,362.83278189998236,362.8161082000006,363.81610440000077,"[0, 0, 0]",1,361.83277909999015,363.8327212999866,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",363.8494265000045,365.8494425000099,363.8494265000045,364.849455699994,364.832797399984,365.8327951999963,"[0, 0, 0]",1,363.8494265000045,365.8494425000099,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,4,4,4,,,None,None,"[0, 0, 0]",365.86611989999074,367.8661318999948,365.86611989999074,366.8661269999866,366.84946999998647,367.8494709999941,"[0, 0, 0]",1,365.86611989999074,367.8661318999948,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 1]",367.8828179999837,369.8828344999929,367.8828179999837,368.88282040000195,368.8661584999936,369.8661590999982,"[0, 0, 1]",1,367.8828179999837,369.8828344999929,,,,,,,,,,,,,0.0,0.5668856999836862,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,6,6,6,,,None,None,"[0, 0, 0]",369.89948239998193,371.8995207999833,369.89948239998193,370.89949559999513,370.882844799984,371.88284549998934,"[0, 0, 0]",1,369.89948239998193,371.8995207999833,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",371.9161724000005,373.9161923000065,371.9161724000005,372.91619379998883,372.89952760000597,373.8995396999817,"[0, 0, 0]",0,371.9161724000005,373.9161923000065,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",373.9328508999897,375.9328800000076,373.9328508999897,374.9328783999954,374.91620669999975,375.9161998000054,"[0, 0, 0]",1,373.9328508999897,375.9328800000076,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",1,0,9,9,9,,,None,None,"[0, 0, 0]",375.9495796999836,377.9495437000005,375.9495796999836,376.949557999993,376.93288159999065,377.9329034999828,"[0, 0, 0]",0,375.9495796999836,377.9495437000005,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,,,,,,,,,,,,,,,,377.9828859999834,None,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",None,0,0,0,0,389.9996669999964,None,None,None,"[0, 0, 0]",392.99968089998583,394.999696999992,392.99968089998583,393.9996974999958,393.9996974999958,394.999696999992,"[0, 0, 0]",1,392.99968089998583,394.999696999992,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",395.01636169999256,397.0163787000056,395.01636169999256,396.01637930001016,395.999716899998,396.99972120000166,"[0, 0, 0]",1,395.01636169999256,397.0163787000056,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",397.03305959998397,399.03306919999886,397.03305959998397,398.03307289999793,398.01641159999417,399.01639669999713,"[0, 0, 0]",1,397.03305959998397,399.03306919999886,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,3,3,3,,,None,None,"[0, 0, 0]",399.04974729998503,401.04976689998875,399.04974729998503,400.0497775999829,400.03307979999227,401.0330774000031,"[0, 0, 0]",1,399.04974729998503,401.04976689998875,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,4,4,4,,,None,None,"[0, 0, 0]",401.0664230999828,403.0664409000019,401.0664230999828,402.0664190000098,402.049781299982,403.0496615000011,"[0, 0, 0]",1,401.0664230999828,403.0664409000019,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,5,5,5,,,None,None,"[0, 0, 0]",403.0830991999828,405.0831242999993,403.0830991999828,404.08311259999755,404.06645479999133,405.0664419999812,"[0, 0, 0]",1,403.0830991999828,405.0831242999993,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",1,0,6,6,6,,,None,None,"[0, 0, 0]",405.0996779999987,407.09982090000995,405.0996779999987,406.09980560000986,406.0831244000001,407.08315630001016,"[0, 0, 0]",1,405.0996779999987,407.09982090000995,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",1,0,7,7,7,,,None,None,"[0, 0, 0]",407.1164620000054,409.1164792999916,407.1164620000054,408.1164889000065,408.09980490000453,409.09983950000606,"[0, 0, 0]",1,407.1164620000054,409.1164792999916,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
