RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.rt,response_2.started,response_2.stopped,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,39,39,39,,,,,,,,,164.74089010013267,None,164.74089010013267,165.7409028999973,165.72423820011318,166.72425920004025,None,1,,164.74089010013267,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,40,40,40,,,,,,,,,166.74091390008107,None,166.74091390008107,167.74094350007363,167.72423950000666,168.72426609997638,None,1,,166.74091390008107,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,41,41,41,,,,,,,,,168.74094319995493,None,168.74094319995493,169.74094139994122,169.7242610999383,170.72427240014076,None,0,,168.74094319995493,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,42,42,42,,,,,,,,,170.740948199993,None,170.740948199993,171.7409844000358,171.72430550004356,172.7243147001136,None,1,,170.740948199993,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,43,43,43,,,,,,,,,172.7409666001331,None,172.7409666001331,173.74097139993683,173.72431410010904,174.7243262999691,None,1,,172.7409666001331,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,44,44,44,,,,,,,,,174.7410011999309,None,174.7410011999309,175.74098949995823,175.72433830006048,176.724347300129,None,1,,174.7410011999309,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,45,45,45,,,,,,,,,176.74099860014394,None,176.74099860014394,177.74089680006728,177.72434459999204,178.7243596999906,None,1,,176.74099860014394,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,46,46,46,,,,,,,,,178.7410194000695,None,178.7410194000695,179.7410297000315,179.72436210000888,180.72436890006065,None,1,,178.7410194000695,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,47,47,47,,,,,,,,,180.74105149996467,None,180.74105149996467,181.74103470006958,181.72436839994043,182.72439999994822,None,1,,180.74105149996467,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,48,48,48,,,,,,,,,182.74104669992812,None,182.74104669992812,183.74107670015655,183.7243960001506,184.72448550001718,None,0,,182.74104669992812,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,49,49,49,,,,,,,,,184.74107620003633,None,184.74107620003633,185.74109250004403,185.7244268001523,186.72442990005948,None,1,,184.74107620003633,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,50,50,50,,,,,,,,,186.74109419994056,None,186.74109419994056,187.74109190003946,187.72444389993325,188.72445140010677,None,1,,186.74109419994056,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,51,51,51,,,,,,,,,188.74111740011722,None,188.74111740011722,189.7411058000289,189.72443330008537,190.72445950005203,None,0,,188.74111740011722,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,52,52,52,,,,,,,,,190.741131399991,None,190.741131399991,191.7411503000185,191.72447760007344,192.72439650003798,None,1,,190.741131399991,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,53,53,53,,,,,,,,,192.74114660010673,None,192.74114660010673,193.741169200046,193.724496900104,194.7245080000721,None,1,,192.74114660010673,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,54,54,54,,,,,,,,,194.7411776999943,None,194.7411776999943,195.74105049995705,195.72450440004468,196.7245221999474,None,1,,194.7411776999943,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,55,55,55,,,,,,,,,196.7411746000871,None,196.7411746000871,197.74119930015877,197.72452170006,198.72446739999577,None,1,,196.7411746000871,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,56,56,56,,,,,,,,,198.741204299964,None,198.741204299964,199.74120820011012,199.72455019992776,200.72455819998868,None,0,,198.741204299964,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,57,57,57,,,,,,,,,200.74122460000217,None,200.74122460000217,201.7412088001147,201.72456869995221,202.72457710001618,None,1,,200.74122460000217,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,58,58,58,,,,,,,,,202.74123520008288,None,202.74123520008288,203.74124080012552,203.72457630001009,204.72456760006025,None,1,,202.74123520008288,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,59,59,59,,,,,,,,,204.74124930007383,None,204.74124930007383,205.74125470011495,205.72458339994773,206.7246477000881,None,1,,204.74124930007383,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,60,60,60,,,,,,,,,206.74126600008458,None,206.74126600008458,207.7412817000877,207.72459070011973,208.72460009995848,None,1,,206.74126600008458,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,61,61,61,,,,,,,,,208.74129729997367,None,208.74129729997367,209.74130520015024,209.72462019999512,210.72462380002253,None,1,,208.74129729997367,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,62,62,62,,,,,,,,,210.7412970000878,None,210.7412970000878,211.74131310009398,211.7246513001155,212.7246459000744,None,1,,210.7412970000878,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,63,63,63,,,,,,,,,212.741332200123,None,212.741332200123,213.74131910013966,213.7246580000501,214.72465840005316,None,1,,212.741332200123,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,64,64,64,,,,,,,,,214.74133360013366,None,214.74133360013366,215.7413681000471,215.72466509998776,216.72467590007,None,1,,214.74133360013366,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,65,65,65,,,,,,,,,216.7413474000059,None,216.7413474000059,217.7413640001323,217.7246860000305,218.72469120007008,None,0,,216.7413474000059,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,66,66,66,,,,,,,,,218.74136390001513,None,218.74136390001513,219.74137310008518,219.7247142000124,220.7247085000854,None,1,,218.74136390001513,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,67,67,67,,,,,,,,,220.7413892999757,None,220.7413892999757,221.7414055999834,221.72470890008844,222.72475140006281,None,1,,220.7413892999757,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,68,68,68,,,,,,,,,222.74141769995913,None,222.74141769995913,223.74141480005346,223.7247636001557,224.72475280007347,None,1,,222.74141769995913,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,69,69,69,,,,,,,,,224.7414235000033,None,224.7414235000033,225.74146890011616,225.72476990008727,226.72478669998236,None,1,,224.7414235000033,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,70,70,70,,,,,,,,,226.74144130013883,None,226.74144130013883,227.74145240010694,227.7247862999793,228.72477310011163,None,0,,226.74144130013883,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
