square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",159.35256500006653,161.35223410010803,159.35256500006653,160.35253990010824,160.33590420009568,161.33600510004908,"[0, 0, 0]",0,159.35256500006653,161.35223410010803,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
4,"[-0.2, 0]",0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",161.36931060010102,163.36882980004884,161.36931060010102,162.36912340007257,162.35240740003064,163.35258300008718,"[0, 0, 0]",0,161.36931060010102,163.36882980004884,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",163.38595560006797,165.38552880007774,163.38595560006797,164.3858471000567,164.3693021000363,165.3692534000147,"[0, 0, 0]",0,163.38595560006797,165.38552880007774,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
4,"[-0.2, 0]",1,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",165.40260230004787,167.40220650006086,165.40260230004787,166.4026209000731,166.38595610007178,167.3859258000739,"[0, 0, 0]",0,165.40260230004787,167.40220650006086,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",167.41928190004546,169.41892130009364,167.41928190004546,168.4192107000854,168.4026374000823,169.40266270004213,"[0, 0, 0]",0,167.41928190004546,169.41892130009364,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
5,"[0, 0]",0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",169.43582830007654,171.4355940000387,169.43582830007654,170.4359966000775,170.41919780010357,171.41937090002466,"[0, 0, 0]",0,169.43582830007654,171.4355940000387,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",171.45268190000206,173.45224530005362,171.45268190000206,172.45265740004834,172.43589740002062,173.4359898000257,"[0, 0, 0]",0,171.45268190000206,173.45224530005362,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",173.46933130000252,175.46898640005384,173.46933130000252,174.46937300008722,174.4526640000986,175.45269470009953,"[0, 0, 0]",0,173.46933130000252,175.46898640005384,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",175.48595670005307,177.48566690005828,175.48595670005307,176.4859827000182,176.46937760000583,177.46925230009947,"[0, 0, 0]",0,175.48595670005307,177.48566690005828,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",177.50266470003407,179.50229530001525,177.50266470003407,178.50270970002748,178.48601029999554,179.48598980007228,"[0, 0, 0]",0,177.50266470003407,179.50229530001525,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
8,"[0, -0.2]",0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",179.5193851001095,181.51896460005082,179.5193851001095,180.51941500010435,180.50271480006631,181.50269860005938,"[0, 0, 0]",0,179.5193851001095,181.51896460005082,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
