square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7,"[-0.2, -0.2]",0.0,0,7,7,7,,,None,None,"[0, 0, 0]",372.42978390003555,374.4298221000354,372.42978390003555,373.4297983000288,373.41313120000996,374.4131223000004,"[0, 0, 0]",0,372.42978390003555,374.4298221000354,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",1.0,0,8,8,8,,,None,None,"[0, 0, 0]",374.44649190001655,376.44651849998627,374.44649190001655,375.4464881999884,375.4298460999853,376.4298269000137,"[0, 0, 0]",0,374.44649190001655,376.44651849998627,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,9,9,9,,,None,None,"[0, 0, 0]",376.4631526999874,378.4631912999903,376.4631526999874,377.46318030002294,377.4465174000361,378.4465326000354,"[0, 0, 0]",0,376.4631526999874,378.4631912999903,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,10,10,10,,,None,None,"[0, 0, 0]",378.4798352000071,380.47987280000234,378.4798352000071,379.47994240000844,379.463195600023,380.46319710003445,"[0, 0, 0]",0,378.4798352000071,380.47987280000234,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1.0,0,11,11,11,,,None,None,"[0, 0, 0]",380.49655099998927,382.49657670001034,380.49655099998927,381.49655859998893,381.4798792999936,382.4799050000147,"[0, 0, 0]",0,380.49655099998927,382.49657670001034,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,12,12,12,,,None,None,"[0, 0, 0]",382.5132338000112,384.5132294000359,382.5132338000112,383.5132440000307,383.49656870000763,384.49658650002675,"[0, 0, 0]",0,382.5132338000112,384.5132294000359,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,13,13,13,,,None,None,"[0, 0, 0]",384.5299085000297,386.52992100000847,384.5299085000297,385.52991620003013,385.5132494000136,386.51326869998593,"[0, 0, 0]",1,384.5299085000297,386.52992100000847,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,14,14,14,,,None,None,"[0, 0, 0]",386.546560399991,388.5466036000289,386.546560399991,387.5466179000214,387.5299608000205,388.52994849998504,"[0, 0, 0]",1,386.546560399991,388.5466036000289,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
8,"[0, -0.2]",0.0,0,15,15,15,,,None,None,"[0, 0, 0]",388.56326650001574,390.56332190003013,388.56326650001574,389.56330300000263,389.5466116000316,390.5466310000047,"[0, 0, 0]",1,388.56326650001574,390.56332190003013,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,16,16,16,,,None,None,"[0, 0, 0]",390.5799422999844,392.5799684000085,390.5799422999844,391.57996030000504,391.5633024999988,392.5633082999848,"[0, 0, 0]",1,390.5799422999844,392.5799684000085,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
