square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.rt_left,response_2.rt_right,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,150.44345190000604,None,None,None,"[0, 0, 0]",151.460155400011,None,151.460155400011,152.46011560002808,152.44344210001873,153.4434484000085,,,"[0, 0, 0]",1,151.460155400011,None,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",153.46011850002105,155.46012370000244,153.46011850002105,154.4601272,154.44345310001518,155.44345780002186,,,"[0, 0, 0]",1,153.46011850002105,155.46012370000244,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",155.4768008000101,157.47680530001526,155.4768008000101,156.47682090001763,156.4601321000082,157.4601365000126,,,"[0, 0, 0]",1,155.4768008000101,157.47680530001526,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",157.49340960002155,159.493503900012,157.49340960002155,158.4934868000273,158.47682130002067,159.47684750001645,,,"[0, 0, 0]",1,157.49340960002155,159.493503900012,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",159.51018200002727,161.51016540001729,159.51018200002727,160.51017370002228,160.49350380001124,161.49351740002749,,,"[0, 0, 0]",1,159.51018200002727,161.51016540001729,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",161.52685620001284,163.52687739999965,161.52685620001284,162.52688770001987,162.5101892000239,163.51019810000435,,,"[0, 0, 0]",1,161.52685620001284,163.52687739999965,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",163.54354490002152,165.54355550001492,163.54354490002152,164.54354320000857,164.5268760000181,165.52688800002215,,,"[0, 0, 0]",0,163.54354490002152,165.54355550001492,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",165.5602100000251,167.56023300002562,165.5602100000251,166.5602188000048,166.54356740001822,167.54356030002236,,,"[0, 0, 0]",1,165.5602100000251,167.56023300002562,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",167.57692260001204,169.57692150000366,167.57692260001204,168.57691380000324,168.56023660002393,169.56024540000362,,,"[0, 0, 0]",1,167.57692260001204,169.57692150000366,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",169.59358950000023,171.59360740002012,169.59358950000023,170.59358140002587,170.57694460000494,171.57694840000477,,,"[0, 0, 0]",1,169.59358950000023,171.59360740002012,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 0]",171.61027260002447,173.61025770002743,171.61027260002447,172.61028500000248,172.59362130000954,173.5935487000097,,,"[0, 0, 0]",1,171.61027260002447,173.61025770002743,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
